eventID,year,month,day,hour,minute,second,latitude,longitude,depth,,,sigmaMagnitude,magnitude,location,Ref.,RMS(sec),Mag,Error,Depth,Error,Duplicate,Type
1,1615,2,21,12,5,19.3,5.1,-1.3,8,,,0.3,5.5,NNA,,,,,,,,
2,1636,12,18,14,49,6.6,5.1,-2.2,8,,,0.3,5.7,NNA,,,,,,,,
3,1788,4,23,5,43,22.4,7.6,1.7,10,,,0.3,5.6,NNA,,,,,,,,
4,1836,12,29,23,55,19.7,5.1,-1.3,15,,,0.3,5,NNA,,,,,,,,
5,1858,8,21,3,30,20.4,5.6,-0.2,11,,,0.3,4.5,NNA,,,,,,,,
6,1861,6,6,6,39,48.8,6,0,16,,,0.3,4.5,NNA,,,,,,,,
7,1862,7,10,8,53,31.7,5.5,-0.25,18,,,0.3,6.8,BGS,,,,,,,,
8,1870,11,23,12,19,31.1,5.3,-0.7,11,,,0.3,4.5,NNA,,,,,,,,
9,1871,1,26,20,8,46.3,5.5,-0.4,7,,,0.3,4.6,NNA,,,,,,,,
10,1872,4,14,23,55,7.1,5.5,-0.4,13,,,0.3,4.9,NNA,,,,,,,,
11,1879,2,11,6,8,37.4,6.5,-3.3,15,,,0.3,5.7,NNA,,,,,,,,
12,1883,8,13,2,30,20.7,5.5,-0.4,10,,,0.3,4.6,NNA,,,,,,,,
13,1889,4,5,12,20,20.0,5.9,-0.2,12,,,0.3,4,NNA,,,,,,,,
14,1894,5,5,22,20,34.3,5.5,-0.2,9,,,0.3,4,NNA,,,,,,,,
15,1906,11,20,21,53,51.6,6.5,0.3,18,,,0.3,5,NNA,,,,,,,,
16,1907,2,27,22,15,11.8,6.1,-0.9,12,,,0.3,4.1,NNA,,,,,,,,
17,1910,12,25,9,31,40.2,5.6,-0.2,13,,,0.3,4,NNA,,,,,,,,
18,1911,6,17,15,20,53.9,5.5,-0.2,9,,,0.3,4,NNA,,,,,,,,
19,1912,3,3,11,30,11.9,5.5,-3.6,8,,,0.3,4,NNA,,,,,,,,
20,1930,10,14,12,37,17.8,7.1,0.7,7,,,0.3,3.5,NNA,,,,,,,,
21,1933,1,6,4,35,29.6,7,0.6,16,,,0.3,4,NNA,,,,,,,,
22,1935,5,29,10,42,53.2,6.9,0.6,16,,,0.3,4,NNA,,,,,,,,
23,1939,6,22,19,19,29.9,5.18,-0.13,13,,,0.3,6.4,NNA,,,,,,,,
24,1939,8,18,4,51,16.5,6,1,17,,,0.3,5.3,ISC,,,,,,,,
25,1950,4,4,22,9,31.9,6.8,-4.6,22,,,0.3,4,NNA,,,,,,,,
26,1964,3,11,12,46,34.3,6.02,-0.03,33,,,0.3,4.7,AKO,,,,,,,,
27,1967,12,31,17,31,24.6,5.43,-0.42,8,,,0.3,3.3,BER,,,,,,,,
28,1969,2,9,18,29,0.8,5.55,-0.12,33,,,0.3,4.9,USG,,,,,,,,
29,1969,10,10,7,17,42.0,5.52,-0.12,9,,,0.3,4.3,BER,,,,,,,,
30,1971,10,4,2,39,30.3,5.58,-0.35,11,,,0.3,3.3,BER,,,,,,,,
31,1973,8,23,15,2,22.8,5.7,0.3,9,,,0.3,2.2,GSD,,,,,,,,
32,1973,11,28,8,32,3.8,7,0.8,13,,,0.3,1.5,GSD,,,,,,,,
33,1974,1,11,23,2,21.4,5,-2.6,18,,,0.3,4.1,GSD,,,,,,,,
34,1974,1,16,5,49,14.0,6.5,0.5,11,,,0.3,1.5,GSD,,,,,,,,
35,1974,2,20,15,21,12.1,5,-2.6,14,,,0.3,3.4,GSD,,,,,,,,
